id,bucket,entry_count,last_edit,name
"--hamed01",conlang,0,,"کلمات پر کاربرد"
"6nvd4st3esfafdr",conlang,2,2025-11-05T18:04:31.242Z,"Standard Bridge English"
"a-mini-dictionary-of-comm",glossary,0,,"A Mini Dictionary of Common Slang Used by Students in Nigeria"
"abc",glossary,1,2025-11-03T15:49:10.483Z,"Abc"
"adruveeto",conlang,4,2025-05-13T05:16:16.213Z,"Adruveeto (Conlang)"
"agarathi",conlang,8,2025-01-18T05:34:22.056Z,"Agarathi (Conlang)"
"akaixa",conlang,8,2025-05-13T05:16:16.213Z,"Akaixa (Conlang)"
"akiratenshiwiki",conlang,0,,"Akiratenshi"
"algyzlang",conlang,8,2025-08-29T19:31:07.892Z,"Alğızşa"
"allemand",conlang,1,2025-10-21T15:42:09.324Z,"Allemand"
"allendalic",conlang,1,2025-09-03T16:05:10.010Z,"Allendalic (Conlang)"
"ancient-egyptian",glossary,0,,"Ancient Egyptian"
"ancient-language",conlang,6,2025-04-23T17:40:31.212Z,"Ancient Language"
"ande",conlang,4,2025-07-11T05:41:31.831Z,"Ânde"
"andorran-dictionary",glossary,0,,"Andorran Dictionary"
"angika-maithili-",conlang,0,,"अंगिका मैथिली"
"anglisch",conlang,0,,"Anglisch"
"anglow-norman-kreeool",conlang,0,,"Anglow-Norman Kreeool"
"anglu-latviesu-vardnica-m",conlang,0,,"Angļu-Latviešu vārdnīca Markuss"
"anthrow",conlang,0,,"Anthrow"
"anti-zo",conlang,1,2025-12-23T02:02:13.592Z,"Anti-zo"
"antik-msrca",glossary,0,,"Antik Mısırca"
"arabic--e-kamus-",glossary,1,2025-09-03T02:23:51.898Z,"Arabic ( E-KAMUS )"
"arabic-kurdish",conlang,8,2025-09-23T19:15:57.464Z,"Arabic-kurdish"
"arabic-networking-terms",glossary,1,2025-11-29T01:30:54.760Z,"Arabic Networking Terms"
"arabic-thai",glossary,0,,"Arabic-thai"
"aria",conlang,0,,"Aria"
"artensla",conlang,1,2025-08-16T09:12:14.082Z,"English"
"atheist",conlang,1,2025-11-22T22:06:00.134Z,"Atheist"
"atnoeb",conlang,5,2025-11-25T17:27:11.434Z,"Atnoeb"
"awn-coa-aa",conlang,4,2025-10-22T12:17:57.694Z,"AwN CoA Aaˊ"
"barbani",conlang,4,2025-05-13T05:16:16.213Z,"Barbani (Conlang)"
"bees-kneesenese",conlang,0,,"Bees-Kneesenese"
"beyond-the-frontier",conlang,0,,"Beyond The Frontier"
"binglish",conlang,0,,"Binglish"
"botellanes",conlang,7,2025-05-13T05:28:21.229Z,"Botellanés (Conlang)"
"boyo",conlang,8,2025-06-19T21:24:24.956Z,"Boyo"
"bridging-bogota--karachi",glossary,0,,"Bridging Bogotá & Karachi"
"brisano",conlang,6,2025-05-13T05:28:21.229Z,"Brisano"
"british-english",glossary,1,2025-08-26T10:00:22.294Z,"British English"
"brotigigigig",conlang,1,2025-10-09T15:54:30.145Z,"Brotigigigig"
"buddhijkyesyes",conlang,0,,"Buddhijk"
"c1vocabulary",glossary,0,,"C1_Vocabulary"
"carntinian",conlang,0,,"Carntinian"
"cattish",conlang,1,2025-12-18T14:53:17.890Z,"Cattish"
"chachamba",conlang,0,,"Chachamba"
"chelish",conlang,7,2025-11-17T13:12:36.727Z,"Chelish"
"chepache",conlang,0,,"Chepache"
"chicken-language",glossary,1,2025-11-07T07:37:10.785Z,"Chicken language"
"chicken-languange",glossary,0,,"Chicken languange"
"childrens-dictionary",glossary,1,2025-07-20T15:39:33.016Z,"Children's Dictionary"
"chinese-idiom",glossary,1,2025-09-19T13:53:27.783Z,"Chinese Idiom dictionary, Cantonese Version"
"chinese-idiom-dictionary",glossary,1,2025-09-19T13:32:49.462Z,"Chinese Idiom Dictionary: Cantonese Cartoon"
"chinese-idiom-video",glossary,0,,"Chinese Idiom Video"
"chinesee",glossary,0,,"Chinesee"
"chineseidiomdictionary",glossary,1,2025-09-19T13:53:23.855Z,"Chinese version idiom dictionary"
"chineseversionidiom",glossary,1,2025-09-20T07:14:07.880Z,"Chinese version idiom dictionary"
"chrisz-language",conlang,0,,"Chrisz language"
"clademan",conlang,4,2025-08-23T22:47:59.441Z,"Clademan"
"cnhn",conlang,7,2025-06-29T01:30:45.719Z,"CNHN"
"colloquial-jordanian",conlang,1,2026-01-01T20:37:20.732Z,"Colloquial Jordanian"
"colloquialjordanian",conlang,0,,"Colloquial Jordanian"
"computer-shortcuts",conlang,0,,"Computer shortcuts"
"crentonian",conlang,1,2025-12-26T20:31:27.517Z,"Crentonian"
"cryptian",conlang,0,,"Cryptian"
"csa-language",conlang,7,2024-11-14T19:56:27.376Z,"CSA Language (Conlang)"
"damian",conlang,0,,"Damian"
"devonian",conlang,1,2025-12-07T17:10:18.693Z,"Devonian"
"dfdfd",glossary,1,2025-11-01T13:29:24.011Z,"Dfdfd"
"diccionario-del-reino-de",conlang,1,2025-12-04T10:32:11.797Z,"Diccionario del Reino de Prusalia para hablantes españoles"
"diccionario-semiotico",glossary,4,2025-09-14T04:56:28.389Z,"Diccionario semiotico"
"diccionarioowen",glossary,2,2025-12-13T15:33:46.061Z,"DiccionarioOwen"
"dicexxionairem-virlander",conlang,1,2025-07-27T00:53:41.219Z,"Dićexxionairem Virølander-Hispanier"
"dico",glossary,0,,"Dico"
"dictionary-of-alternate-v",conlang,1,2025-08-15T05:26:58.806Z,"Dictionary of Alternate Vocabularies"
"dictionary-of-traditional",glossary,0,,"Dictionary of traditional tools"
"diksyunaryo-ng-medisina",conlang,0,,"DIKSYUNARYO NG MEDISINA, MATEMATIKA AT AGHAM"
"dodge",conlang,0,,"DodGe"
"doopian",conlang,3,2025-08-11T05:51:04.743Z,"Doopian"
"dosnitla",conlang,1,2025-11-09T04:15:50.635Z,"Dosnitla"
"draconese",conlang,0,,"Draconese"
"dragonic",conlang,1,2025-10-25T23:42:14.750Z,"Dragonic"
"drahziir",conlang,8,2025-07-30T17:19:31.066Z,"Drahziir"
"draknir",conlang,6,2025-09-07T15:05:45.731Z,"Draknir"
"dublin-slang",glossary,5,2026-01-10T22:13:42.365Z,"Dublin Slang"
"dystrix",conlang,1,2025-07-18T14:26:17.349Z,"Dystrix"
"dzahe",conlang,3,2025-08-20T00:16:04.857Z,"Dzahe"
"egba",conlang,0,,"Egba"
"elhosiny",glossary,6,2025-09-16T08:38:59.711Z,"English"
"elija",conlang,0,,"Elija"
"emmas-english",glossary,1,2025-11-08T02:27:51.814Z,"Emmas English"
"emoji",conlang,1,2025-09-06T17:55:59.122Z,"Emoji"
"engcom",glossary,0,,"English"
"englihs",conlang,1,2025-09-04T18:00:03.366Z,"Englihs"
"english-for-pet",glossary,2,2025-12-11T10:27:47.368Z,"English for PET"
"english-indonesia",glossary,1,2025-10-21T13:06:51.768Z,"English-Indonesia"
"english-liamsextonian",conlang,0,,"English-Liamsextonian"
"english-vietnamese",glossary,1,2025-10-19T12:17:33.344Z,"ENGLISH-VIETNAMESE"
"english20",glossary,0,,"English"
"englishlivingdictionaries",glossary,0,,"English"
"englishvocab",glossary,2,2025-08-14T06:04:15.068Z,"EnglishVocab"
"englishy",glossary,0,,"Englishy"
"enlgish",glossary,1,2025-10-07T18:27:04.611Z,"Enlgish"
"erins-norwegian-dictiona",glossary,1,2025-12-17T18:00:45.471Z,"Erin's norwegian dictionary"
"esahs-live-dictionary",glossary,2,2025-09-22T10:12:01.827Z,"Esah's Live Dictionary"
"espanol87420",glossary,0,,"Español"
"espanolcol",glossary,0,,"Español"
"experimental",conlang,4,2025-05-23T19:03:12.082Z,"Experimental"
"eyteyt",conlang,0,,"Eyteyt"
"family",glossary,1,2026-01-04T19:12:21.836Z,"Family"
"fariha",conlang,0,,"Fariha"
"feranic",conlang,0,,"Feranic"
"files",conlang,0,,"files"
"finnishlang",glossary,0,,"Finnishlang"
"food-names-english",glossary,0,,"Food names english"
"football-terms-dictionary",glossary,0,,"Football Terms Dictionary"
"fort-english",conlang,2,2025-11-03T06:21:54.450Z,"Fort English"
"francais-germanie",conlang,0,,"Francais-germanie"
"frances",glossary,6,2025-07-25T23:16:39.595Z,"Francés"
"french",glossary,0,,"French"
"frenchastghcom",conlang,1,2025-10-31T08:56:03.427Z,"French"
"frenchtoenglish",glossary,0,,"Frenchtoenglish"
"fyjo",conlang,1,2025-12-13T13:45:06.487Z,"Fyjø"
"gagner",glossary,1,2025-08-06T06:03:10.512Z,"English"
"gamlastadski",conlang,9,2025-05-13T05:29:37.985Z,"Гамластадсkи Диксионар"
"gd-das",conlang,0,,"Gd das"
"geometry-dash",conlang,0,,"Geometry Dash"
"goblins",conlang,0,,"Goblins"
"god-is-goo",conlang,2,2025-08-28T06:47:19.999Z,"God is goo"
"goofcode",conlang,0,,"Goofcode"
"goofy-terms",glossary,0,,"Goofy terms"
"greenwichic",conlang,0,2025-08-31T16:00:18.163Z,"Greenwichic"
"gremily",conlang,5,2025-06-04T08:38:08.768Z,"Gremily"
"grit",conlang,0,,"Grit"
"guardic",conlang,6,2025-05-27T17:15:34.269Z,"Guardic"
"haig",conlang,0,2025-10-26T07:24:44.724Z,"Haig"
"hanyno",conlang,3,2025-10-08T08:40:09.810Z,"Hanyno"
"harry-poter-charms-with-c",conlang,0,,"Harry Poter Charms with Chinese Translation"
"harry-potter",glossary,0,,"Harry potter"
"harry-potter-magic-spell",glossary,1,2025-11-18T06:34:42.252Z,"Harry Potter Magic Spell"
"hattof",conlang,1,2025-10-31T14:29:55.959Z,"Hattof"
"hawkdenish",conlang,0,,"Hawkdenish"
"haywhy",conlang,0,,"HAYWHY"
"henrish",conlang,6,2025-11-29T01:16:48.349Z,"Henrish"
"high-vweluian",conlang,0,,"High Vwelūian"
"hr-and-mangament",conlang,1,2025-12-21T00:45:13.103Z,"Hr and mangament"
"idiom-in-chinese",glossary,1,2025-09-19T14:05:21.700Z,"Idiom in Chinese"
"idioma-yanosiano",conlang,9,2025-05-13T05:29:37.985Z,"Yanosiano"
"ikan",conlang,5,2025-05-14T02:46:53.255Z,"Ikan"
"ikbha-bikjhar",conlang,4,2025-01-23T15:52:38.036Z,"Īkbhå Bīkjhår (Conlang)"
"ima",conlang,0,,"Ima"
"imloco",conlang,1,2025-12-03T14:06:18.041Z,"Imæloæcæo"
"immo",conlang,0,,"Immo"
"inglis-diksionari",conlang,6,2025-05-13T05:29:37.985Z,"Ínglis Lángueij Díksionari"
"inside-jokes",glossary,0,,"Inside jokes"
"inuit",conlang,2,2025-11-20T13:42:51.114Z,"Inuit"
"irioctisa",conlang,5,2025-12-31T04:57:20.871Z,"Irioctisa"
"islian",conlang,7,2025-11-16T16:18:45.885Z,"Islian"
"italian-300",glossary,0,,"ITALIAN 300"
"italiano",glossary,1,2025-08-24T18:37:54.117Z,"Italiano"
"jacob-test2",glossary,1,2025-12-19T02:12:30.872Z,"Jacob test2"
"japanese-uzbek-english",glossary,0,,"Japanese-Uzbek-English"
"jargon",glossary,0,,"Jargon"
"jenglish",conlang,1,2025-11-21T23:52:07.513Z,"Jenglish"
"jimish",conlang,8,2025-01-30T12:09:14.047Z,"Jimish (Conlang)"
"jorai",conlang,1,2025-10-27T00:23:07.070Z,"Jorai"
"justemburgish",conlang,0,,"Justemburgish"
"kaifs-dictionary",glossary,2,2025-08-13T09:56:29.424Z,"Kaif's Dictionary"
"kalirine",conlang,1,2025-10-30T20:03:19.491Z,"Kalirine"
"katakian",conlang,1,2025-11-13T07:26:10.702Z,"Katakian"
"kazan",conlang,2,2025-12-04T12:24:53.613Z,"(privat)"
"keety",conlang,9,2025-12-31T00:35:42.007Z,"Keety"
"key-concepts-for-language",conlang,1,2025-10-01T13:53:18.062Z,"Key concepts for language"
"kinjinza",conlang,1,2025-08-28T13:51:02.960Z,"Kinjinza"
"kitanese",glossary,5,2025-08-04T01:00:39.148Z,"Kitanese"
"kitonese-sanasanskerta",conlang,0,,"Kitonese Sanasanskerta"
"knejce",conlang,6,2025-10-11T01:18:41.956Z,"Knejce"
"ko1",conlang,4,2025-12-18T00:19:03.055Z,"Ko"
"kovach",conlang,0,,"Kovach"
"krekozhan",conlang,6,2025-06-11T21:10:16.222Z,"Krekozhan"
"kulia",conlang,0,,"Sixisch"
"kurtism",conlang,1,2025-12-18T01:08:03.430Z,"Kurtism"
"kyle",glossary,0,,"Kyle"
"laddish",conlang,1,2025-12-28T12:42:21.384Z,"Laddish"
"lara",glossary,0,,"Lara"
"lazali-dialect",conlang,1,2025-07-27T21:11:14.795Z,"Lazali Dialect"
"leap-forward",conlang,0,,"LEAP forward"
"legal-words",glossary,0,,"Legal Words"
"leonese",conlang,0,,"Leonese"
"les-mots-vivants",conlang,1,2025-12-11T13:14:14.738Z,"Les mots vivants"
"leshennir",conlang,1,2025-09-21T16:06:52.306Z,"Leshennir"
"lexis-definitions",glossary,0,,"Lexi's Definitions"
"ley-dze-la-karn-isadi",conlang,7,2025-05-13T05:16:16.213Z,"Ley dze la Karn Isadı"
"linguish",conlang,4,2024-12-05T02:43:26.917Z,"Linguish"
"lingvo-di-novalna",conlang,1,2025-11-04T16:26:19.290Z,"Lingvo di Novalna"
"linternational",conlang,2,2025-09-24T17:36:23.100Z,"L'international"
"livinyite",conlang,0,,"Livinyite"
"logistics--iae--matias",conlang,1,2025-08-06T13:47:51.370Z,"Logistics- iae- matias"
"lotons",conlang,0,2026-01-01T21:46:44.892Z,"Lotons"
"lotons-rus",conlang,0,,"Lotons Rus"
"lunes---lingua-dos-lunati",conlang,0,,"Lunês - Lingua dos Lunaticianos"
"lutariense",conlang,0,,"Lutariense"
"machodictionary",glossary,1,2025-09-27T23:01:43.715Z,"MachoDictionary"
"maddys-deutsch-dictionary",glossary,1,2025-07-10T17:03:32.980Z,"fail"
"maefan",conlang,3,2025-08-26T15:30:28.785Z,"Mæfan"
"mahakese",conlang,6,2025-05-13T05:16:16.213Z,"Mahakese (Conlang)"
"mando-a",conlang,0,,"Mando'a"
"mangonese",conlang,9,2025-05-13T05:28:21.229Z,"Mangonese"
"mannyc",conlang,0,,"Mannyc"
"manushya-language0000",conlang,0,,"Manushya Language0000"
"maoan",conlang,9,2025-10-25T22:06:18.333Z,"Maoan"
"markian",conlang,4,2025-05-29T13:50:58.552Z,"Markian"
"mathemic",conlang,0,,"Mathemic"
"medreuz",conlang,9,2025-11-23T03:31:24.093Z,"Medreuz"
"merrianna",conlang,0,,"Merrianna"
"middle-english",glossary,1,2025-08-10T01:42:03.643Z,"Middle English"
"mini-dictionary",glossary,0,,"MINI DICTIONARY"
"mitchells-dictionary",glossary,1,2025-11-17T14:57:14.216Z,"Mitchell's dictionary"
"moari",glossary,0,,"Moari"
"more-words-english",conlang,1,2025-07-21T04:16:38.517Z,"More Words, English"
"mpag",glossary,8,2025-09-12T18:10:05.607Z,"Spanish"
"my-personal-dictionary",glossary,0,,"My personal dictionary"
"my-project",conlang,1,2025-08-18T03:07:31.524Z,"My project"
"nalu",conlang,0,,"Na'lu"
"nars",conlang,1,2025-11-07T01:48:54.500Z,"Narš"
"naruto",conlang,0,,"Naruto"
"natashadonoh",glossary,0,,"Natashadonoh"
"nathanielewilliamese-obo",conlang,0,,"Nathanielewilliamese O'bonnet"
"nayira",conlang,1,2025-11-29T19:25:01.448Z,"Nayira"
"new",glossary,0,,"New"
"new-gagweem",conlang,0,,"New Gagweem"
"new-gen",glossary,0,,"Spaninglish"
"new-slang",glossary,1,2025-09-16T00:12:48.819Z,"New Slang"
"noratherai",conlang,0,2025-11-30T04:17:03.577Z,"Noratherai"
"norsk",glossary,0,,"Norsk"
"oceanography",conlang,1,2025-09-13T00:29:10.610Z,"Oceanography"
"old-englishdictonary",glossary,0,,"Old English"
"olim",conlang,1,2025-12-03T20:09:55.886Z,"Olim"
"olivish",conlang,2,2025-10-05T15:10:47.335Z,"Olivish"
"oluwakemi",glossary,0,,"Oluwakemi"
"olympic-sports-encycloped",glossary,1,2025-11-16T05:50:55.089Z,"Olympic Sports Encyclopedia"
"omtobaenglish",glossary,1,2025-11-17T10:15:44.348Z,"English"
"onkoyoruba",conlang,0,,"Onko/yoruba"
"ooglish",conlang,0,,"Ooglish"
"opo-acronyms",glossary,1,2025-10-07T13:49:53.777Z,"OPO Acronyms"
"ozbekce-sozluk",glossary,1,2025-11-24T17:07:28.903Z,"Özbekçe Sözlük"
"palaw",conlang,0,,"Páláw"
"physics",conlang,1,2026-01-03T18:22:35.669Z,"Physics"
"pidgin",conlang,0,,"Pidgin"
"polish",conlang,1,2025-07-29T00:35:37.935Z,"Polish"
"polish-english-dictionary",glossary,0,,"Polish-English Dictionary of Electronics"
"post-slavspan",conlang,1,2025-08-18T18:06:28.977Z,"Post-slavspan"
"procbew",conlang,9,2025-05-13T05:28:21.229Z,"Procbew"
"proto-tagvan",conlang,7,2025-10-04T14:07:19.090Z,"Proto Tagvan"
"psalm-visuals",conlang,0,,"Psalm Visuals"
"pyraxian",conlang,0,,"Pyraxian"
"qamus",conlang,0,,"Qamus"
"raisha",conlang,7,2025-11-11T13:18:35.456Z,"Райша"
"random-ahh-dictionary",conlang,1,2025-08-29T15:14:29.079Z,"Random ahh dictionary"
"reading",glossary,1,2025-08-16T16:54:25.554Z,"Reading"
"renadine-english",conlang,0,,"Renadine English"
"ression-dictionary",conlang,6,2025-10-03T13:29:30.865Z,"Ression Dictionary"
"romino",conlang,1,2025-09-17T00:44:07.352Z,"Romino"
"royce",conlang,3,2025-10-23T19:24:46.088Z,"Royce"
"runesun",conlang,1,2025-11-19T18:08:49.068Z,"Runesun"
"rusithia",conlang,0,2025-10-25T20:04:04.293Z,"Rusithia"
"sadf",glossary,1,2025-12-24T12:10:33.126Z,"Sadf"
"sage-femme",conlang,0,,"Sage femme"
"salc",conlang,1,2026-01-03T02:20:19.573Z,"Salc"
"selene",conlang,4,2025-05-13T05:28:21.229Z,"Selene"
"selinology",conlang,0,,"SELINOLOGY"
"serta-des",conlang,3,2025-10-28T10:18:33.262Z,"Serta Des"
"shanam",conlang,0,,"Shanam"
"short-language",conlang,0,,"Short-language"
"silvinian",conlang,7,2025-09-20T22:31:57.373Z,"Silvinian (Conlang)"
"snoshwee",conlang,1,2025-09-15T04:09:38.297Z,"Snoshwee"
"social-studies-dictionary",glossary,0,,"Social Studies Dictionary"
"spanishdict8th",glossary,1,2025-08-03T19:05:31.370Z,"Spanish"
"speaketras",conlang,4,2026-01-11T22:41:00.479Z,"Etras"
"sporty",glossary,1,2025-11-23T04:25:20.945Z,"Sporty"
"stensk",conlang,8,2025-11-17T16:30:32.040Z,"Stænsk"
"stinkin-language",conlang,2,2025-08-04T21:33:00.011Z,"Stinkin Language"
"szhorvakan",conlang,9,2025-09-13T20:00:02.031Z,"S’Zhorvakán"
"taai-sing-siu-see",conlang,1,2025-12-23T20:02:20.314Z,"大成小寫"
"tayen",conlang,1,2025-10-10T03:27:50.573Z,"Tayen"
"test-german",glossary,2,2025-11-18T12:25:18.178Z,"German"
"testing",glossary,0,,"Testing"
"testomatico",glossary,1,2025-10-30T21:47:32.030Z,"Testomatico"
"tfguwoyeh",conlang,0,,"Tfguwoyeh"
"thalvian",conlang,6,2025-11-13T00:06:26.641Z,"Thalvian"
"tharkaelin",conlang,2,2025-09-29T09:51:53.237Z,"Thar'kaelin"
"tharun",conlang,4,2025-07-25T01:01:33.192Z,"Tharûn"
"thayren",conlang,0,,"Tháyren"
"the-2025-world-scholars-c",glossary,0,,"The 2025 World Scholars Cup Terms Dictionary"
"the-attican-dictionary",conlang,0,,"The Attican Dictionary"
"the-auden-dictionary",glossary,5,2025-08-23T19:31:42.245Z,"The Auden Dictionary"
"the-barbie-dictionary",glossary,0,,"The Barbie Dictionary"
"the-buv-dialect",glossary,1,2025-07-11T12:00:25.922Z,"The Buv Dialect"
"the-halftonechi-railfan-c",glossary,2,2026-01-05T01:40:09.662Z,"The HalftoneCHI Railfan Community Official Dictionary"
"the-tiktok-slang-for-gran",glossary,1,2025-07-18T13:39:49.754Z,"The tiktok slang for grandmas"
"thelang",conlang,1,2025-08-05T09:04:29.708Z,"TheLANG"
"this-is-a-test-harry-pot",glossary,0,,"THIS IS A TEST"
"tipa",conlang,1,2025-09-05T13:26:45.210Z,"Tipa"
"toki-pona",conlang,4,2025-05-13T05:16:16.213Z,"Toki Pona"
"tolkapayayavapai",glossary,0,,"Yavapai"
"tomibrain01",glossary,0,,"Tomibrain01"
"toronto",glossary,2,2025-07-21T16:18:12.266Z,"Toronto"
"tosiyren",conlang,2,2026-01-06T17:22:31.283Z,"Tosiyren"
"travelling",conlang,0,,"TRAVELLING"
"trustworthy",glossary,1,2025-09-19T14:03:26.792Z,"Trustworthy"
"tuloh",conlang,0,,"Tuloh"
"turian",conlang,0,,"Türian"
"turkce-ingilizce",conlang,0,,"TÜRKÇE-İNGİLİZCE"
"turkish",conlang,1,2025-12-19T14:54:50.601Z,"Turkish"
"typo",conlang,0,,"Typo"
"ublock",conlang,3,2025-09-06T22:10:38.704Z,"Ublock"
"unnekin",conlang,0,,"Unnekin"
"vaelshae",conlang,0,,"Vael'Shae"
"vansh",conlang,0,,"Vansh"
"velyth",conlang,0,,"Velyth"
"veran",conlang,0,,"Veran"
"verbarium",glossary,1,2025-11-26T09:30:44.384Z,"Verbarium"
"verman",conlang,0,,"Verman"
"vhousphlef",conlang,0,,"Vhousphlef"
"vihaans-language",conlang,0,,"VIHAANS LANGUAGE"
"vincentish",conlang,1,2025-12-14T19:24:05.795Z,"Vincentish"
"vocabualry-set-global-suc",glossary,3,2025-10-19T13:47:33.970Z,"Vocabualry Set Global Success 12"
"vorian",conlang,3,2025-10-08T20:17:08.883Z,"Vörian"
"vyshtytsky",conlang,0,,"Vyshtytsky"
"w-dictionary",glossary,1,2025-10-16T09:42:43.197Z,"W-Dictionary"
"warrior-cats",conlang,1,2025-09-19T15:46:37.560Z,"Warrior Cats"
"wgnc",conlang,6,2025-05-14T18:39:41.176Z,"WGNC"
"whimlish",conlang,0,,"Whimlish"
"wielki-silly-slownik-pier",glossary,1,2025-10-20T10:24:35.255Z,"Wielki Silly Slownik Pierdolnikowy"
"words-i-do-not-knoow",conlang,0,,"Words I do not knoow"
"xotong",conlang,1,2025-07-29T22:22:12.417Z,"Xotong"
"yabadinese",conlang,9,2025-10-13T03:30:44.381Z,"Yabadinese"
"yafia",conlang,5,2025-06-23T20:06:53.929Z,"Yafia"
"yongasabi",conlang,1,2025-09-07T23:33:00.224Z,"Yongasabi"
"yoruba-wuyi",conlang,0,,"Yoruba wuyi"
"youn",conlang,0,,"Youn"
"zahuratiya",conlang,7,2025-05-19T19:47:02.047Z,"Zahuratiya"
"zoralofzorak",conlang,2,2025-09-13T18:40:44.225Z,"Zoral"
"zwpqtvcaoirkvphgyjskrxbpd",conlang,5,2025-05-13T05:16:16.213Z,"Zwpqtvcaoirkvphgyjskrxbpdnlcwfaunvnsivicfuzmeqdtondxxkbrtfeutgyfmlje"
